
=== TouchTest session started at clock=1.048 ===
# seq | clock_s | category | value | x | y | panState | gridOffX | gridOffY
141|21.618|1|16642|172|252|0|78|-93
142|21.681|1|16642|78|201|0|78|-93
143|21.713|1|16642|78|201|0|78|-93
144|21.744|1|16642|65|173|0|78|-93
145|21.791|1|16642|73|151|0|78|-93
146|21.823|1|16642|73|151|0|78|-93
147|21.853|1|16642|85|141|0|78|-93
148|21.899|1|16642|212|117|0|78|-93
149|21.930|1|16642|277|121|0|78|-93
150|22.009|1|16642|324|148|0|78|-93
151|22.039|1|16642|324|148|0|78|-93
152|22.118|1|16642|340|155|0|78|-93
153|22.149|1|16642|340|123|0|78|-93
154|22.211|1|16642|309|81|0|78|-93
155|22.257|1|16642|257|61|0|78|-93
156|22.319|1|16642|223|62|0|78|-93
157|22.351|1|16642|177|77|0|78|-93
158|22.414|1|16642|141|97|0|78|-93
159|22.446|1|16642|141|97|0|78|-93
160|22.476|1|16642|117|132|0|78|-93
161|22.523|1|16642|113|168|0|78|-93
162|22.554|1|16642|113|168|0|78|-93
163|22.617|1|16642|137|231|0|78|-93
164|22.648|1|16642|137|231|0|78|-93
165|22.680|1|16642|141|244|0|78|-93
166|22.727|1|16642|137|250|0|78|-93
167|22.759|1|16642|132|253|0|78|-93
168|22.836|1|16642|81|250|0|78|-93
169|22.867|1|16642|68|225|0|78|-93
170|22.930|1|16642|85|185|0|78|-93
171|22.961|1|16642|85|185|0|78|-93
172|22.992|1|16642|152|140|0|78|-93
173|23.039|1|16642|189|134|0|78|-93
174|23.071|1|16642|189|134|0|78|-93
175|23.132|1|16642|248|147|0|78|-93
176|23.165|1|16642|321|143|0|78|-93
177|23.196|1|16642|321|143|0|78|-93
178|23.242|1|16642|324|112|0|78|-93
179|23.273|1|16642|295|81|0|78|-93
180|23.334|1|16642|269|72|0|78|-93
181|23.365|1|16642|236|77|0|78|-93
182|23.396|1|16642|223|90|0|78|-93
183|23.443|1|16642|216|104|0|78|-93
184|23.475|1|16642|216|104|0|78|-93
185|27.465|1|16642|124|182|0|78|-93
186|27.496|1|16642|145|183|0|78|-93
187|27.559|1|16642|166|184|0|78|-93
188|27.591|1|16642|188|183|0|78|-93
189|27.623|1|16642|188|183|0|78|-93
190|27.668|1|16642|215|182|0|78|-93
191|27.699|1|16642|249|180|0|78|-93
192|27.763|1|16642|296|180|0|78|-93
193|27.795|1|16642|310|180|0|78|-93
194|27.825|1|16642|332|179|0|78|-93
195|27.871|1|16642|360|179|0|78|-93
196|27.902|1|16642|385|177|0|78|-93
197|27.964|1|16642|405|176|0|78|-93
198|27.996|1|16642|405|176|0|78|-93
199|28.027|1|16642|422|175|0|78|-93
200|28.074|1|16642|436|175|0|78|-93
201|28.106|1|16642|436|175|0|78|-93
202|52.200|1|16640|223|113|0|78|-93
203|52.294|1|16642|264|134|1|78|-93
204|52.325|1|16642|264|134|1|119|-72
205|52.402|1|16642|305|134|2|119|-72
206|52.434|1|16642|319|132|2|119|-72
207|52.464|1|16642|319|132|2|119|-72
208|52.511|1|16642|332|130|2|119|-72
209|52.541|1|16642|347|129|2|119|-72
210|52.573|1|16642|352|129|2|119|-72
211|52.618|1|16642|354|129|2|119|-72
212|52.649|1|16642|360|129|2|119|-72
213|52.727|1|16642|362|129|2|119|-72
214|52.759|1|16642|362|129|2|119|-72
215|52.820|1|16642|362|129|2|119|-72
216|52.850|1|16642|362|129|2|119|-72
217|52.882|1|16642|362|129|2|119|-72
218|52.929|1|16642|362|129|2|119|-72
219|52.960|1|16642|361|129|2|119|-72
220|53.023|1|16642|337|139|2|119|-72
221|53.055|1|16642|317|143|2|119|-72
222|53.116|1|16642|304|147|2|119|-72
223|53.147|1|16642|275|150|2|119|-72
224|53.179|1|16642|257|150|2|119|-72
225|53.241|1|16642|243|150|2|119|-72
226|53.272|1|16642|229|151|2|119|-72
227|53.305|1|16642|219|152|2|119|-72
228|53.351|1|16642|210|152|2|119|-72
229|53.383|1|16642|210|152|2|119|-72
230|53.444|1|16642|184|153|2|119|-72
231|53.475|1|16642|182|153|2|119|-72
232|53.506|1|16642|182|153|2|119|-72
232|54.327|0|0|0|0|0|119|-72|GRACE_EXPIRED
233|54.546|1|16642|153|193|0|119|-72
234|54.578|1|16642|153|193|0|119|-72
235|54.640|1|16642|227|192|0|119|-72
236|54.671|1|16642|227|192|0|119|-72
237|54.702|1|16642|255|191|0|119|-72
238|54.749|1|16642|285|190|0|119|-72
239|54.781|1|16642|312|188|0|119|-72
240|54.845|1|16642|335|187|0|119|-72
241|54.876|1|16642|355|186|0|119|-72
242|54.907|1|16642|366|185|0|119|-72
243|54.970|1|16642|371|185|0|119|-72
244|55.001|1|16642|376|185|0|119|-72
245|55.033|1|16642|376|185|0|119|-72
246|55.079|1|16642|380|184|0|119|-72
247|55.111|1|16642|380|184|0|119|-72
248|55.156|1|16642|381|184|0|119|-72
249|55.186|1|16642|381|184|0|119|-72
250|55.217|1|16642|381|184|0|119|-72
251|55.264|1|16642|381|184|0|119|-72
252|55.295|1|16642|379|183|0|119|-72
253|55.357|1|16642|326|178|0|119|-72
254|55.388|1|16642|266|173|0|119|-72
255|55.419|1|16642|232|172|0|119|-72
256|55.481|1|16642|218|172|0|119|-72
257|55.513|1|16642|200|170|0|119|-72
258|55.545|1|16642|172|164|0|119|-72
259|55.592|1|16642|144|157|0|119|-72
260|55.624|1|16642|144|157|0|119|-72
261|55.687|1|16642|121|125|0|119|-72
262|55.718|1|16642|115|116|0|119|-72
263|55.748|1|16642|115|116|0|119|-72
264|55.796|1|16642|115|115|0|119|-72
265|55.827|1|16642|115|115|0|119|-72
266|55.890|1|16642|115|115|0|119|-72
267|55.921|1|16642|115|115|0|119|-72
268|55.952|1|16642|115|115|0|119|-72
269|55.999|1|16642|115|115|0|119|-72
270|56.030|1|16642|115|115|0|119|-72

=== TouchTest session started at clock=1.169 ===
# seq | clock_s | category | value | x | y | panState | gridOffX | gridOffY
